Wavelength,Absorbance
3999.598,0.007
3997.670,0.007
3995.741,0.008
3993.813,0.008
3991.885,0.008
3989.956,0.008
3988.028,0.008
3986.099,0.008
3984.171,0.007
3982.242,0.007
3980.314,0.007
3978.385,0.007
3976.457,0.007
3974.528,0.007
3972.600,0.008
3970.672,0.008
3968.743,0.008
3966.815,0.008
3964.886,0.008
3962.958,0.008
3961.029,0.008
3959.101,0.008
3957.172,0.008
3955.244,0.008
3953.315,0.008
3951.387,0.008
3949.459,0.008
3947.530,0.008
3945.602,0.008
3943.673,0.008
3941.745,0.007
3939.816,0.007
3937.888,0.007
3935.959,0.007
3934.031,0.008
3932.103,0.008
3930.174,0.008
3928.246,0.008
3926.317,0.008
3924.389,0.008
3922.460,0.008
3920.532,0.008
3918.604,0.008
3916.675,0.008
3914.747,0.008
3912.818,0.007
3910.890,0.007
3908.961,0.008
3907.033,0.008
3905.104,0.009
3903.176,0.010
3901.248,0.010
3899.319,0.010
3897.391,0.010
3895.462,0.009
3893.534,0.009
3891.605,0.008
3889.677,0.008
3887.748,0.008
3885.820,0.008
3883.891,0.008
3881.963,0.008
3880.034,0.008
3878.106,0.008
3876.178,0.008
3874.249,0.007
3872.321,0.008
3870.392,0.008
3868.464,0.009
3866.535,0.009
3864.607,0.009
3862.678,0.008
3860.750,0.008
3858.822,0.008
3856.893,0.008
3854.965,0.009
3853.036,0.008
3851.108,0.008
3849.179,0.008
3847.251,0.008
3845.323,0.008
3843.394,0.008
3841.466,0.009
3839.537,0.009
3837.609,0.010
3835.680,0.010
3833.752,0.009
3831.823,0.008
3829.895,0.008
3827.967,0.007
3826.038,0.007
3824.110,0.007
3822.181,0.008
3820.253,0.008
3818.324,0.008
3816.396,0.008
3814.467,0.008
3812.539,0.007
3810.610,0.007
3808.682,0.007
3806.754,0.008
3804.825,0.008
3802.897,0.009
3800.968,0.009
3799.040,0.009
3797.111,0.008
3795.183,0.008
3793.254,0.007
3791.326,0.007
3789.397,0.007
3787.469,0.006
3785.541,0.007
3783.612,0.007
3781.684,0.007
